15,55,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Group,I3,I3,I3,I3,A1,A1,A1,A1,B20,B20,B20,B20,B11,B11,B11,B11,C8,C8,C8,C8,I14,I14,I14,I14,B9,B9,B9,B9,E9,E9,E9,E9,B18,B18,B18,B18,BF3,BF3,BF3,BF3,B6,B6,B6,B6,BF19,BF19,BF19,BF19,BF15,BF15,BF15,BF15,A3,A3,A3,A3,B266,B266,B266,B266
15.01,2,79,89,91,0,0,0,0,0,209,211,214,0,78,80,0,0,230,248,252,0,210,214,217,220,0,0,0,0,0,0,0,0,0,0,0,0,103,123,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,133,135,0
15.02,2,79,87,89,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,252,0,210,214,217,220,80,86,92,96,201,203,0,0,113,117,0,0,103,123,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,133,135,0
15.04,2,79,87,89,0,238,0,0,0,209,211,222,0,80,82,0,0,0,0,0,0,210,214,217,220,80,86,92,96,201,203,0,0,113,117,0,0,103,123,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,133,135,0
15.06,2,79,87,89,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,252,0,210,214,217,220,80,86,92,96,201,203,0,0,113,117,0,0,103,123,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,133,135,0
16.01,2,69,87,0,0,238,0,0,0,206,211,0,0,78,0,0,0,248,0,0,0,217,220,0,0,90,96,0,0,203,0,0,0,113,117,0,0,0,0,0,0,299,0,0,0,0,0,0,0,91,0,0,0,248,0,0,0,133,0,0,0
17.04,2,79,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,250,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,0,0,299,301,0,0,0,0,0,0,91,93,95,0,248,0,0,0,133,139,0,0
17.05,2,79,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,250,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,107,0,297,299,301,0,159,167,0,0,91,93,95,0,248,0,0,0,133,139,0,0
17.06,2,79,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,250,0,210,214,217,220,88,94,0,0,0,0,0,0,109,113,117,0,93,103,107,0,297,299,301,0,159,167,0,0,91,93,95,0,248,0,0,0,133,139,0,0
18.01,2,79,87,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,250,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,107,0,297,299,301,0,159,167,0,0,91,93,95,0,248,0,0,0,0,0,0,0
18.02,2,79,87,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,250,0,210,214,217,220,92,0,0,0,0,0,0,0,113,117,0,0,93,103,107,0,297,299,301,0,159,167,0,0,91,93,95,0,248,0,0,0,131,139,0,0
20.01,1,79,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,246,250,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,119,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,149,0,0
20.02,1,79,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,246,250,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,103,119,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,149,0,0
20.05,1,79,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,246,250,0,210,214,217,220,86,92,96,102,201,203,0,0,113,115,117,0,93,103,119,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,149,0,0
20.06,1,79,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,246,250,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,119,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,149,0,0
21.01,1,81,89,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,248,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,119,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,141,0,0
21.02,1,77,87,0,0,238,240,0,0,211,214,0,0,78,80,0,0,230,248,252,0,210,214,217,220,0,0,0,0,0,0,0,0,113,117,0,0,93,119,0,0,297,299,301,0,155,167,0,0,91,95,0,0,244,248,0,0,131,141,0,0
22.01,1,81,89,0,0,238,0,0,0,209,211,0,0,78,80,0,0,230,248,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,119,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
22.02,1,81,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,252,0,210,214,217,220,86,92,96,102,201,203,207,0,113,117,0,0,93,119,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
22.03,1,81,89,0,0,236,0,0,0,0,0,0,0,78,80,0,0,230,248,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,119,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
22.05,1,81,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,252,0,210,214,217,220,86,92,96,102,201,203,0,0,0,0,0,0,93,119,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
22.07,1,81,89,0,0,238,0,0,0,209,211,222,0,78,80,0,0,230,248,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,119,0,0,297,299,301,0,155,167,0,0,91,95,0,0,248,0,0,0,131,143,0,0
23.01,1,79,89,0,0,238,0,0,0,209,211,226,0,78,80,0,0,230,236,252,0,210,214,217,220,86,92,96,102,201,203,0,0,113,117,0,0,93,103,117,0,297,299,301,0,157,167,0,0,91,95,0,0,248,0,0,0,131,149,0,0
23.02,1,79,89,0,0,238,0,0,0,209,211,226,0,78,80,0,0,230,236,252,0,210,214,217,220,86,92,96,0,201,203,0,0,113,117,120,0,93,103,117,0,297,299,301,0,157,167,0,0,91,95,0,0,248,0,0,0,131,149,0,0
