,1.01,1.03,2.04,2.05,2.06,5.01,5.02,5.04,6.01,6.02,6.03,6.05,6.09,9.02,9.04,9.06,10.03,10.06,10.09,10.12,11.01,11.02,11.04,11.07,12.01,12.02,13.02,13.05,13.07,13.09,14.02,14.04,15.01,15.02,15.04,15.06,16.01,17.04,17.05,17.06,18.01,18.02,20.01,20.02,20.05,20.06,21.01,21.02,22.01,22.02,22.03,22.05,22.07,23.01,23.02
9.04,0.038,0.025,0.062,0.082,0.062,0.043,0.043,0.085,0.043,0.062,0.043,0.043,0.043,0.025,0,0.025,0.044,0.044,0.044,0.044,0.024,0.049,0.049,0.049,0.077,0.063,0.063,0.044,0.063,0.063,0.083,0.095,0.075,0.1,0.1,0.1,0.038,0.087,0.113,0.113,0.07,0.094,0.089,0.089,0.089,0.089,0.019,0.038,0,0.025,0,0.025,0.025,0.095,0.095
9.06,0.058,0.019,0.082,0.101,0.106,0.043,0.062,0.082,0.062,0.082,0.062,0.062,0.062,0,0.025,0,0.038,0.038,0.019,0.019,0.024,0.024,0.024,0.049,0.077,0.058,0.062,0.019,0.062,0.038,0.058,0.077,0.1,0.094,0.094,0.094,0.061,0.101,0.107,0.12,0.064,0.088,0.102,0.102,0.108,0.083,0.019,0.063,0,0.038,0,0.019,0.019,0.089,0.115
10.03,0.019,0,0.083,0.083,0.083,0.044,0.044,0.086,0.044,0.064,0.064,0.044,0.044,0.019,0.044,0.038,0,0,0.019,0,0.025,0.025,0.025,0.025,0.096,0.058,0.077,0.038,0.077,0.058,0.058,0.051,0.1,0.094,0.094,0.094,0.061,0.077,0.103,0.103,0.064,0.083,0.083,0.083,0.083,0.083,0,0.044,0.019,0.038,0.019,0.038,0.038,0.09,0.09
10.06,0.019,0,0.083,0.083,0.083,0.044,0.044,0.086,0.044,0.064,0.064,0.044,0.044,0.019,0.044,0.038,0,0,0.019,0,0.025,0.025,0.025,0.025,0.096,0.058,0.077,0.038,0.077,0.058,0.058,0.051,0.1,0.094,0.094,0.094,0.061,0.077,0.103,0.103,0.064,0.083,0.083,0.083,0.083,0.083,0,0.044,0.019,0.038,0.019,0.038,0.038,0.09,0.09
10.09,0.038,0.019,0.083,0.102,0.109,0.067,0.064,0.105,0.064,0.083,0.064,0.064,0.064,0.019,0.044,0.019,0.019,0.019,0,0,0.025,0.025,0.025,0.05,0.096,0.077,0.082,0.038,0.082,0.058,0.058,0.071,0.1,0.094,0.094,0.094,0.061,0.096,0.103,0.115,0.064,0.083,0.102,0.102,0.108,0.083,0,0.044,0.019,0.058,0.019,0.038,0.038,0.09,0.115
10.12,0.019,0,0.064,0.083,0.064,0.044,0.044,0.086,0.044,0.064,0.044,0.044,0.044,0.019,0.044,0.019,0,0,0,0,0.025,0.025,0.025,0.025,0.096,0.058,0.058,0.038,0.058,0.058,0.058,0.051,0.1,0.094,0.094,0.094,0.061,0.077,0.103,0.103,0.064,0.083,0.083,0.083,0.083,0.083,0,0.044,0.019,0.038,0.019,0.038,0.038,0.09,0.09
11.01,0.044,0,0.038,0.058,0.038,0.019,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.024,0.024,0.024,0.025,0.025,0.025,0.025,0,0,0,0,0.101,0.062,0.062,0.043,0.062,0.062,0.058,0.077,0.075,0.075,0.075,0.075,0.038,0.064,0.09,0.09,0.045,0.07,0.058,0.058,0.058,0.058,0.025,0.044,0.024,0.024,0.024,0.024,0.024,0.064,0.064
11.02,0.044,0,0.038,0.058,0.038,0.019,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.024,0.049,0.024,0.025,0.025,0.025,0.025,0,0,0,0,0.101,0.062,0.062,0.043,0.062,0.062,0.058,0.077,0.101,0.094,0.094,0.094,0.061,0.083,0.109,0.109,0.064,0.09,0.077,0.077,0.077,0.077,0.025,0.069,0.024,0.043,0.024,0.043,0.043,0.083,0.083
11.04,0.044,0,0.038,0.058,0.038,0.019,0.019,0.061,0.019,0.038,0.019,0.019,0.019,0.024,0.049,0.024,0.025,0.025,0.025,0.025,0,0,0,0,0.101,0.062,0.062,0.043,0.062,0.062,0.058,0.077,0.101,0.094,0.094,0.094,0.061,0.083,0.109,0.109,0.064,0.09,0.077,0.077,0.077,0.077,0.025,0.069,0.024,0.043,0.024,0.043,0.043,0.083,0.083
11.07,0.025,0,0.019,0.038,0.045,0.042,0,0.045,0,0.019,0,0,0,0.024,0.049,0.049,0.025,0.025,0.05,0.025,0,0,0,0,0.082,0.043,0.043,0.043,0.043,0.043,0.038,0.057,0.101,0.094,0.094,0.094,0.061,0.064,0.09,0.115,0.045,0.07,0.038,0.038,0.038,0.038,0.025,0.069,0.024,0.043,0.024,0.043,0.043,0.058,0.083
